CANDID,"Cash grants; Loans to individuals","Cash grants; Loans to individuals",
CANDID,"Employee matching gifts; Cash grants","Employee matching gifts; Cash grants",
CGAP,Other/unspecified,Other/unspecified,
CRS,612,612,
IATI,512,"512 - Other acquisition of equity",



IATI,"budget - Budget","",


IATI,10,"10 - ODA",
IATI,20,"20 - OOF",
IATI,21,"21 - Non-export credit OOF",
IATI,35,"35 - Private Market",
IATI,36,"36 - Private Foreign Direct Investment",
IATI,40,"40 - Non flow",
IATI,50,"50 - Other flows",

